,0
0,0
1,0
2,0
3,1
4,0
5,4
6,3
7,1
8,1
9,3
10,3
11,2
12,0
13,1
14,2
15,0
16,1
17,0
18,3
19,1
20,0
21,1
22,1
23,0
24,0
25,4
26,3
27,0
28,4
29,3
30,4
31,3
32,0
33,3
34,0
35,1
36,1
37,0
38,1
39,1
40,3
41,0
42,1
43,0
44,1
45,3
46,1
47,1
48,4
49,1
50,0
51,4
52,1
53,3
54,1
55,0
56,0
57,1
58,0
59,3
60,0
61,0
62,5
63,1
64,0
65,5
66,0
67,0
68,4
69,5
70,1
71,2
72,3
73,1
74,2
75,3
76,1
77,0
78,1
79,2
80,1
81,3
82,0
83,1
84,0
85,0
86,2
87,1
88,1
89,0
90,1
91,4
92,3
93,4
94,4
95,3
96,2
97,0
98,3
99,0
100,0
101,0
102,0
103,0
104,3
105,3
106,1
107,1
108,3
109,0
110,1
111,1
112,4
113,1
114,0
115,1
116,1
117,4
118,0
119,1
120,0
121,3
122,0
123,3
124,0
125,2
126,0
127,4
128,0
129,0
130,1
131,1
132,0
133,3
134,3
135,1
136,4
137,0
138,0
139,1
140,1
141,0
142,4
143,1
144,1
145,0
146,1
147,4
148,4
149,2
150,0
151,2
152,4
153,0
154,1
155,0
156,1
157,1
158,3
159,0
160,3
161,1
162,1
163,4
164,4
165,1
166,2
167,2
168,2
169,0
170,2
171,3
172,1
173,1
174,0
175,3
176,1
177,1
178,0
179,0
180,4
181,1
182,0
183,1
184,4
185,0
186,1
187,1
188,5
189,3
190,1
191,0
192,1
193,0
194,0
195,0
196,4
197,4
198,1
199,1
200,1
201,2
202,2
203,1
204,1
205,1
206,2
207,4
208,4
209,1
210,3
211,0
212,1
213,4
214,1
215,0
216,3
217,0
218,3
219,3
220,1
221,4
222,1
223,1
224,1
225,1
226,3
227,1
228,2
229,0
230,0
231,0
232,1
233,1
234,4
235,1
236,0
237,1
238,0
239,1
240,0
241,2
242,0
243,1
244,0
245,0
246,0
247,3
248,1
249,1
250,0
251,0
252,0
253,3
254,1
255,0
256,1
257,1
258,0
259,3
260,3
261,1
262,1
263,3
264,3
265,1
266,1
267,1
268,3
269,2
270,3
271,3
272,4
273,0
274,3
275,0
276,1
277,4
278,3
279,0
280,1
281,0
282,0
283,1
284,1
285,1
286,2
287,0
288,1
289,1
290,0
291,4
292,2
293,0
294,2
295,4
296,3
297,0
298,0
299,3
300,1
301,3
302,1
303,1
304,1
305,5
306,3
307,2
308,3
309,4
310,1
311,0
312,4
313,1
314,3
315,3
316,4
317,5
318,3
319,4
320,0
321,0
322,0
323,1
324,0
325,0
326,1
327,3
328,0
329,0
330,4
331,0
332,0
333,2
334,0
335,1
336,0
337,1
338,4
339,0
340,3
341,1
342,5
343,0
344,1
345,1
346,1
347,3
348,4
349,1
350,0
351,0
352,0
353,1
354,1
355,2
356,2
357,0
358,0
359,1
360,3
361,0
362,0
363,3
364,1
365,1
366,2
367,0
368,3
369,2
370,0
371,1
372,1
373,3
374,1
375,0
376,0
377,0
378,3
379,0
380,4
381,1
382,5
383,4
384,1
385,3
386,3
387,4
388,1
389,1
390,0
391,2
392,0
393,0
394,4
395,0
396,3
397,1
398,0
399,4
400,4
401,1
402,5
403,0
404,2
405,1
406,1
407,0
408,2
409,0
410,4
411,3
412,1
413,2
414,3
415,5
416,4
417,0
418,0
419,0
420,1
421,4
422,4
423,1
424,0
425,1
426,4
427,1
428,3
429,4
430,3
431,0
432,4
433,0
434,4
435,0
436,1
437,3
438,3
439,0
440,1
441,5
442,0
443,0
444,0
445,1
446,0
447,0
448,1
449,3
450,0
451,3
452,0
453,0
454,4
455,0
456,1
457,5
458,1
459,3
460,5
461,1
462,0
463,0
464,0
465,1
466,2
467,0
468,0
469,5
470,4
471,0
472,1
473,1
474,3
475,1
476,1
477,3
478,1
479,0
480,0
481,0
482,0
483,1
484,1
485,0
486,4
487,3
488,1
489,1
490,1
491,0
492,1
493,4
494,1
495,0
496,2
497,0
498,1
499,4
500,3
501,1
502,4
503,1
504,1
505,1
506,0
507,3
508,1
509,0
510,1
511,1
512,4
513,2
514,4
515,0
516,0
517,1
518,0
519,1
520,1
521,0
522,4
523,3
524,1
525,0
526,4
527,0
528,3
529,1
530,1
531,1
532,1
