,0
0,1
1,0
2,4
3,0
4,4
5,4
6,1
7,0
8,5
9,5
10,4
11,1
12,4
13,2
14,2
15,1
16,2
17,4
18,2
19,1
20,0
21,2
22,4
23,3
24,2
25,4
26,3
27,3
28,4
29,1
30,2
31,4
32,5
33,2
34,0
35,1
36,1
37,4
38,2
39,2
40,3
41,0
42,1
43,0
44,3
45,2
46,1
47,3
48,4
49,4
50,3
51,4
52,1
53,3
54,5
55,2
56,2
57,5
58,0
59,3
60,5
61,5
62,1
63,1
64,2
65,4
66,2
67,5
68,5
69,5
70,0
71,2
72,0
73,5
74,1
75,1
76,1
77,0
78,4
79,2
80,5
81,4
82,2
83,5
84,3
85,1
86,2
87,5
88,2
89,2
90,1
91,4
92,3
93,5
94,4
95,2
96,1
97,1
98,5
99,1
100,0
101,3
102,4
103,3
104,1
105,3
106,4
107,1
108,0
109,0
110,4
111,2
112,4
113,5
114,1
115,5
116,1
117,4
118,4
119,0
120,0
121,3
122,3
123,3
124,2
125,1
126,0
127,4
128,4
129,0
130,0
131,2
132,1
133,3
134,2
135,0
136,1
137,3
138,0
139,1
140,3
141,3
142,2
143,1
144,2
145,2
146,5
147,0
148,1
149,2
150,2
151,2
152,5
153,0
154,0
155,4
156,1
157,1
158,3
159,4
160,3
161,1
162,4
163,1
164,1
165,1
166,2
167,2
168,2
169,3
170,2
171,3
172,3
173,0
174,5
175,2
176,3
177,0
178,2
179,0
180,4
181,4
182,4
183,5
184,4
185,2
186,1
187,4
188,0
189,1
190,1
191,0
192,2
193,0
194,0
195,4
196,2
197,4
198,2
199,4
200,3
201,2
202,2
203,5
204,5
205,4
206,0
207,4
208,4
209,2
210,4
211,0
212,5
213,1
214,0
215,2
216,3
217,4
218,0
219,3
220,4
221,4
222,5
223,1
224,1
225,0
226,3
227,2
228,0
229,0
230,3
231,2
232,1
233,4
234,3
235,2
236,0
237,1
238,4
239,2
240,1
241,0
242,0
243,1
244,0
245,2
246,2
247,4
248,1
249,1
250,4
251,0
252,0
253,0
254,5
255,2
256,1
257,2
258,0
259,3
260,3
261,1
262,2
263,5
264,0
265,2
266,2
267,3
268,1
269,1
270,1
271,2
272,1
273,4
274,0
275,2
276,5
277,4
278,4
279,3
280,1
281,4
282,5
283,1
284,1
285,4
286,2
287,5
288,5
289,1
290,0
291,1
292,1
293,3
294,5
295,4
296,3
297,4
298,0
299,4
300,1
301,4
302,3
303,1
304,2
305,5
306,0
307,4
308,4
309,4
310,1
311,1
312,2
313,1
314,2
315,2
316,3
317,5
318,1
319,4
320,1
321,2
322,0
323,3
324,0
325,1
326,2
327,1
328,4
329,3
330,4
331,0
332,0
333,5
334,4
335,2
336,5
337,0
338,4
339,0
340,3
341,2
342,1
343,0
344,3
345,2
346,1
347,3
348,4
349,5
350,4
351,4
352,5
353,2
354,1
355,2
356,2
357,5
358,0
359,1
360,1
361,5
362,5
363,3
364,2
365,1
366,2
367,4
368,3
369,0
370,4
371,1
372,1
373,0
374,2
375,2
376,4
377,0
378,0
379,0
380,5
381,0
382,0
383,4
384,1
385,3
386,3
387,4
388,0
389,1
390,3
391,2
392,2
393,1
394,4
395,4
396,1
397,4
398,5
399,2
400,0
401,0
402,1
403,3
404,2
405,1
406,0
407,0
408,4
409,0
410,4
411,4
412,1
413,2
414,0
415,5
416,4
417,0
418,5
419,4
420,1
421,5
422,0
423,1
424,5
425,1
426,4
427,2
428,2
429,2
430,0
431,0
432,5
433,4
434,0
435,0
436,0
437,3
438,1
439,1
440,0
441,5
442,0
443,5
444,1
445,5
446,0
447,4
448,0
449,1
450,3
451,0
452,0
453,0
454,3
455,1
456,1
457,0
458,1
459,0
460,5
461,1
462,0
463,1
464,0
465,4
466,2
467,1
468,5
469,1
470,5
471,4
472,4
473,4
474,3
475,1
476,1
477,1
478,1
479,0
480,4
481,2
482,3
483,3
484,5
485,4
486,4
487,3
488,4
489,0
490,1
491,2
492,0
493,2
494,1
495,5
496,2
497,0
498,3
499,5
500,1
501,1
502,5
503,1
504,2
505,1
506,4
507,5
508,1
509,3
510,2
511,2
512,4
513,2
514,5
515,3
516,4
517,2
518,5
519,0
520,1
521,0
522,0
523,2
524,3
525,4
526,0
527,4
528,1
529,2
530,1
531,3
532,1
533,1
534,1
535,2
536,0
537,4
538,2
539,4
540,1
541,3
542,3
543,0
544,5
545,3
546,5
547,1
548,2
549,4
550,4
551,4
552,5
553,5
554,3
555,4
556,1
557,3
558,3
559,5
560,4
561,3
562,3
563,1
564,0
565,0
566,1
567,3
568,0
569,1
570,1
571,4
572,2
573,5
574,2
575,1
576,0
577,4
578,4
579,5
580,2
581,2
582,4
583,0
584,2
585,4
586,4
587,1
588,0
589,4
590,2
591,0
592,0
593,2
594,1
595,2
596,0
597,4
598,2
599,1
600,0
601,3
602,3
603,1
604,4
605,5
606,3
607,5
608,0
609,4
610,5
611,1
612,2
613,1
614,1
615,1
616,4
617,2
618,0
619,4
620,4
621,0
622,2
623,1
624,2
625,5
626,4
627,2
628,4
629,2
630,2
631,2
632,2
633,2
634,3
635,3
636,1
637,1
638,1
639,2
640,4
641,3
642,1
643,5
644,2
645,2
646,1
647,5
648,0
649,2
650,4
651,0
652,5
653,1
654,0
655,5
656,0
657,1
658,4
659,1
660,1
661,0
662,3
663,4
664,2
665,4
666,4
667,0
668,4
669,2
670,4
671,3
672,2
673,1
674,4
675,4
676,3
677,3
678,2
679,5
680,0
681,1
682,5
683,3
684,0
685,5
686,0
687,0
688,4
689,5
690,2
691,4
692,4
693,0
694,0
695,0
696,2
697,0
698,3
699,2
700,2
701,0
702,0
703,3
704,3
705,5
706,5
707,1
708,2
709,5
710,4
711,2
712,5
713,1
714,0
715,2
716,4
717,4
718,0
719,3
720,1
721,4
722,1
723,0
724,2
725,0
726,5
727,0
728,4
729,5
730,1
731,4
732,5
733,4
734,1
735,1
736,5
737,5
738,0
739,5
740,1
741,4
742,3
743,0
744,3
745,4
746,3
747,1
748,0
749,0
750,2
751,1
752,1
753,0
754,4
755,2
756,0
757,3
758,1
759,2
760,3
761,3
762,0
763,4
764,4
765,4
766,2
767,1
768,4
769,2
770,2
771,1
772,5
773,3
774,0
775,4
776,3
777,1
778,1
779,1
780,4
781,4
782,0
783,1
784,0
785,0
786,1
787,1
788,5
789,5
790,4
791,1
792,4
793,3
794,2
795,1
796,2
797,2
798,5
799,1
800,0
801,1
802,0
803,0
804,0
805,0
806,0
807,4
808,0
809,0
810,3
811,5
812,1
813,0
814,3
815,2
816,5
817,1
818,0
819,5
820,5
821,1
822,3
823,0
824,4
825,1
826,2
827,3
828,0
829,0
830,1
831,0
832,5
833,2
834,4
835,0
836,0
837,0
838,1
839,2
840,0
841,1
842,1
843,1
844,2
845,1
846,4
847,0
848,0
849,2
850,4
851,0
852,2
853,2
854,3
855,1
856,0
857,1
858,0
859,5
860,3
861,0
862,5
863,5
864,0
865,0
866,0
867,2
868,5
869,3
870,3
871,3
872,3
873,2
874,0
875,5
876,3
877,1
878,3
879,5
880,4
881,2
882,5
883,4
884,4
885,2
886,1
887,3
888,1
889,2
890,3
891,1
892,2
893,2
894,2
895,4
896,1
897,2
898,2
899,1
900,5
901,5
902,3
903,2
904,5
905,0
906,4
907,0
908,1
909,0
910,1
911,4
912,0
913,2
914,1
915,4
916,5
917,2
918,0
919,0
920,4
921,1
922,1
923,2
924,0
925,5
926,3
927,2
928,1
929,2
930,3
931,1
932,5
933,3
934,4
935,0
936,2
937,3
938,0
939,2
940,1
941,5
942,1
943,3
944,4
945,5
946,2
947,1
948,3
949,3
950,0
951,0
952,1
953,1
954,1
955,0
956,2
957,5
958,1
959,2
960,4
961,5
962,3
963,2
964,3
965,0
966,1
967,3
968,1
969,5
970,0
971,5
972,0
973,2
974,0
975,1
976,3
977,4
978,1
979,3
980,1
981,3
982,1
983,3
984,3
985,3
986,5
987,0
988,2
989,1
990,5
991,0
992,1
993,2
994,2
995,1
996,0
997,1
998,3
999,0
1000,4
1001,2
1002,3
1003,5
1004,3
1005,1
1006,4
1007,3
1008,0
1009,5
1010,5
1011,2
1012,5
1013,1
1014,3
1015,2
1016,4
1017,2
1018,2
1019,1
1020,0
1021,1
1022,0
1023,4
1024,0
1025,4
1026,4
1027,2
1028,1
1029,2
1030,1
1031,3
1032,4
1033,3
1034,0
1035,0
1036,4
1037,5
1038,4
1039,3
1040,4
1041,4
1042,4
1043,1
1044,1
1045,4
1046,4
1047,1
1048,0
1049,0
1050,4
1051,0
1052,5
1053,3
1054,5
1055,0
1056,4
1057,1
1058,2
1059,0
1060,0
1061,2
1062,5
1063,1
1064,2
1065,1
1066,0
1067,3
1068,2
1069,4
1070,5
1071,3
1072,4
1073,3
1074,1
1075,0
1076,3
1077,3
1078,0
1079,1
1080,2
1081,2
1082,2
1083,1
1084,3
1085,0
1086,3
1087,3
1088,1
1089,2
1090,4
1091,2
1092,2
1093,0
1094,5
1095,4
1096,4
1097,5
1098,3
1099,3
1100,3
1101,2
1102,3
1103,4
1104,4
1105,2
1106,1
1107,1
1108,4
1109,4
1110,3
1111,3
1112,4
1113,5
1114,1
1115,3
1116,1
1117,2
1118,5
1119,3
1120,2
1121,4
1122,1
1123,0
1124,4
1125,1
1126,4
1127,1
1128,0
1129,1
1130,5
1131,2
1132,1
1133,4
1134,0
1135,1
1136,1
1137,2
1138,5
1139,0
1140,1
1141,3
1142,5
1143,1
1144,3
1145,1
1146,2
1147,1
1148,3
1149,0
1150,3
1151,2
1152,1
1153,0
1154,5
1155,0
1156,1
1157,3
1158,3
1159,0
1160,1
1161,5
1162,0
1163,5
1164,3
1165,1
1166,5
1167,2
1168,1
1169,1
1170,2
1171,0
1172,4
1173,5
1174,4
1175,4
1176,1
1177,3
1178,4
1179,2
1180,2
1181,4
1182,2
1183,3
1184,4
1185,5
1186,2
1187,0
1188,4
1189,0
1190,4
1191,0
1192,1
1193,3
1194,0
1195,4
1196,4
1197,5
1198,2
1199,1
1200,3
1201,0
1202,4
1203,2
1204,0
1205,5
1206,0
1207,3
1208,0
1209,1
1210,0
1211,1
1212,0
1213,0
1214,2
1215,1
1216,1
1217,1
1218,5
1219,2
1220,4
1221,4
1222,4
1223,4
1224,4
1225,2
1226,4
1227,0
1228,4
1229,2
1230,1
